company,website
 Xerox UK Holding Limited Uxbridge , www.xerox.co.uk
 Autonoom Gemeentebedrijf Elektriciteitsnet Izegem Gmntljk Instlng Izegem, www.izegem.be
 Gemeentelijk Slachthuisbedrijf en Veemarktbedrijf van Sint-Truiden Openb. Instel. Sint-Truiden, www.sint-truiden.be
 Commune de Rouvroy Instn Mncpl Rouvroy, www.rouvroy.info
 De Coene - Simons BVBA Gent, www.toolpunt.be
 Centrale voor Huisvesting CVBA Gent, www.volkshaard.be
 Belga NV Bruxelles, www.belgafilms.be
 Fluvio Labor BVBA Beveren-Waas, openthebox.be
 Agida BVBA Wetteren, www.agoda.com
 Information Technology Group NV Gent, www.sdditg.com
 Van Gansen Dealership BVBA Antwerpen, garagevangansen.be
 Church's English Shoes SA Bruxelles, www.church-footwear.com
 Transports et Sablière Heremans SA Incourt, www.vaills.com
 Studio Teurlings BVBA Halle, www.selexion.be
 Ets Ghislain SPRL Mons, www.menuiserie-ghilain.be
 Société de Logements de Mouscron SC Mouscron, www.swl.be
 Entreprises de Travaux Publics Léon Michaux SA Farciennes, www.michauxconstruct.com
 Pâtisserie M.Schamp SA Charleroi, www.boulangerie-schamp.be
 Centre Funeraire Zammattio & Fils SPRL Charleroi, www.inmemoriam.be
 Timmermans Frères SPRL Ecaussinnes, www.ecaussinnes.be
 Centre Hospitalier Universitaire de Tivoli - Institut Médical des Mutualités Socialistes ASBL La Louvière, www.chu-tivoli.be
 Etablissements Landresse SPRL Bruxelles, www.pagesdor.be
 Voets E. en Zoon BVBA Brussel, www.notaris-voets.be
 Kaiser & Co SA Bruxelles, www.hk-piconsulting.com
 Orangeblue SPRL Bruxelles, tissuorange.be
 Nordson Benelux NV Zaventem, www.nordson.com
 Hammes SPRL Saint-Vith, www.levisa.be
 Les Pharmaciens Unis SCRL Liège, www.lespharmaciensunis.be
 Maison Jobé-Baiwir et Compagnie SPRL Liège, retailer.lafuma-furniture.com
 Union Professionnelle des Négociants en Combustibles de la Province de Liège UNION PROF. Bruxelles, www.brafco.be
 Satracom SA Weismes, www.fbaa.be
 Etablissements Ad. Pollet SA Antoing, www.pollet.eu
 Comaprex SA Namur, www.trivago.com
 Pro Maria ASBL Beauraing, www.sanctuairesdebeauraing.be
 Huis De Becker SPRL Bruxelles, gavindebecker.com
 Etablissements Delmoitie freres et fils SPRL Bruxelles, www.md-cuisines.com
 Charles Jolnckheere Et NV Ternat, jonckheere-ch1.skynetblogs.be
 Tornado SA Brussels, www.tornadobf.be
 La Maison du Miel SPRL Bruxelles, lamaisondumiel.be
 La Fiduciaire de Bruxelles SA Bruxelles, www.iec-iab.be
 Panorama De La Bataille De Waterloo (1815) SA Waterloo, fr.wikipedia.org
 Beltratex SA Bruxelles, www.beltratex.com
 Syllab SA Gembloux, www.sakshieducation.com
 Aprisys SA Brussel, www.dievision.eu
 A De Voeght en Cie BVBA Kampenhout, www.reisagent.net
 L'Union Haccourtoise SC Oupeye, reserve-queue-du-bois.footeo.com
 K.F.C. Nijlen VZW Nijlen, www.kfcnijlen.be
 Bulmetal PVBA Antwerpen, www.belgianscrapterminal.com
 Alders Bulk Logistics BVBA Overpelt, www.alders-transport.be
 Kempenland Steenkapperij PVBA Laakdal, www.steenkapperijkempenland.be
 La Femme Prévoyante ASBL Liège, ecolesfps.be
 Carrières des Limites SA Rochefort, www.limites.be
