no,company,website
1, Xerox UK Holding Limited Uxbridge , www.xerox.co.uk
4, Autonoom Gemeentebedrijf Elektriciteitsnet Izegem Gmntljk Instlng Izegem, www.izegem.be
7, Donation Royale - Koninklijke Schenking Etabl. Public Brussel, data.be
10, Gemeentelijk Slachthuisbedrijf en Veemarktbedrijf van Sint-Truiden Openb. Instel. Sint-Truiden, www.sint-truiden.be
13, Commune de Rouvroy Instn Mncpl Rouvroy, www.rouvroy.info
16, Proefslachthuis Rijksuniversiteit Gent Melle, data.be
19, Waterloo Gardens SPRL Waterloo, trendstop.levif.be
22, De Coene - Simons BVBA Gent, www.toolpunt.be
25, Depaepe BVBA Merelbeke, trendstop.knack.be
28, Ganda Molens NV Gent, www.kompass.com
31, Centrale voor Huisvesting CVBA Gent, www.volkshaard.be
34, Verlatrans NV Deinze, lb.kompass.com
37, Belga NV Bruxelles, www.belgafilms.be
40, Charles Beaumont NV Gent, lk.kompass.com
43, DDG Management & Investment BVBA Sint-Martens-Latem, trendstop.knack.be
46, Eldemar PVBA Zele, www.1207.be
49, Fluvio Labor BVBA Beveren-Waas, openthebox.be
52, a Kwadraat PVBA Gent, www.companyweb.be
55, Jachribel PVBA Roeselare, trendstop.knack.be
58, Kerksieraden G. Verdonck en Zoon BVBA Gent, www.handelsgids.be
61, Agida BVBA Wetteren, www.agoda.com
64, Cardon BVBA Dendermonde, trendstop.knack.be
67, Corimmo BVBA Merelbeke, www.companyweb.be
70, Vastgoed De Cleene-Raman BVBA Lochristi, www.goudengids.be
73, De Meyer-De Moor BVBA Wetteren, www.handelsgids.be
76, Firma Albert De Pla-De Cooman BVBA Bonheiden, lb.kompass.com
79, FIRMA DE ROUCK NV Waasmunster, trendstop.knack.be
82, Meirschaert Immo NV Melle, trendstop.knack.be
85, Etablissementen Stuko BVBA Gent, www.companyweb.be
88, Transpobel BVBA Berlare, trendstop.knack.be
91, Transportal BVBA Gent, www.companyweb.be
94, Wildorp NV Deinze, trendstop.knack.be
97, Immo B-C-D NV Ronse, lb.kompass.com
100, Soder NV Ronse, trendstop.knack.be
103, Eurofim NV Zottegem, www.yelp.com
106, Steenbakkerijen van Roborst In Vereffening BVBA Zwalm, www.bizique.be
109, Verkooijen Transport Meerle NV Hoogstraten, www.companyweb.be
112, Imco Vandevelde BVBA Oudenaarde, gb.kompass.com
115, Firma Ysebaert en Compagnie BVBA Ronse, www.kompass.com
117, Houthandel Peter Buekens BVBA Aalst, www.companyweb.be
120, Information Technology Group NV Gent, www.sdditg.com
123, Emiel De Roeck en Zonen SA Bruxelles, be.kompass.com
126, Moderna Special Cleaning NV Lebbeke, trendstop.knack.be
129, Robari PVBA Aalst, lb.kompass.com
132, Van Gansen Dealership BVBA Antwerpen, garagevangansen.be
135, Firma Ph. en W. Van den Bogaert NV Denderleeuw, be.kompass.com
138, Ardans Brandstoffen BVBA Ninove, trendstop.knack.be
141, Endeco SA Wavre, www.companyweb.be
144, Colim CV Halle, be.kompass.com
147, Vincent Company SPRL Lasne, trendstop.levif.be
150, M.E.A. - Meubles en Acier -Tôlerie Industrielle SPRL Bruxelles, be.kompass.com
155, La Technique Rationnelle Moderne SA Bruxelles, be.kompass.com
158, Cle Rapide - Sleutelcentrale BVBA Brussel, be.kompass.com
161, Entreprises Générales Jean Debernardi SPRL Bruxelles, www.hoovers.com
164, Les Entreprises A Gustot SPRL Bruxelles, www.companyweb.be
167, Publimail Group SA Bruxelles, trendstop.levif.be
170, Le Lavoir Sainte Catherine SPRL Bruxelles, be.kompass.com
173, Beltex SA Bruxelles, trendstop.levif.be
175, Tricots de Bruxelles SPRL Bruxelles, nz.kompass.com
178, Frey et Bastian SA Bruxelles, trendstop.levif.be
181, Nylona SA Comblain-au-Pont, trendstop.levif.be
184, Immobiliere Robin SA Bruxelles, be.kompass.com
187, Bureau d'Expertise G.V.A. SPRL Bruxelles, www.companyweb.be
190, Church's English Shoes SA Bruxelles, www.church-footwear.com
193, Werkhuizen Holemans PVBA Tienen, trendstop.knack.be
196, Melkerij van Leefdaal BVBA Bertem, www.companyweb.be
199, Transports et Sablière Heremans SA Incourt, www.vaills.com
202, Alu Perfect In vereffening BVBA Grimbergen, 194.7.35.240
205, Bati PVBA Merchtem, trendstop.knack.be
208, Internatio Vervoer Brants-ValleT NV Heist-op-den-Berg, be.kompass.com
211, Transport Victor De Man & Co BVBA Arendonk, lk.kompass.com
214, Manufacture J. Legrand in Vereffenint SA Mouscron, www.bizique.be
217, De Wolf Meise BVBA Meise, trendstop.knack.be
220, Firma Spolspoel PVBA Vilvoorde, trendstop.knack.be
223, Stim NV Zemst, lk.kompass.com
226, Transpigeons BVBA Steenokkerzeel, trendstop.knack.be
229, La Colothèque SPRL Bruxelles, trendstop.levif.be
232, C.D.M. BVBA Opwijk, lokaal.infobel.be
234, Firma Donies Trapmakerij BVBA Londerzeel, trendstop.knack.be
237, Emile Eylenbosch BVBA Asse, trendstop.knack.be
240, Promado BVBA Mechelen, www.bizique.be
243, Eduard Nagels en Zonen BVBA Rumst, trendstop.knack.be
246, Hout Philips Houtwol NV Putte, trendstop.knack.be
249, Robot BVBA Mechelen, trendstop.knack.be
252, Centrale Verwarming Heating BVBA Vilvoorde, www.handelsgids.be
255, Gebroeders Lauwers In vereffening BVBA Boom, trendstop.knack.be
258, BVBA Patrick Hens BVBA Sint-Katelijne-Waver, trendstop.knack.be
261, Kippenhof VERHAEGEN Verhae BVBA Heist-op-den-Berg, www.1207.be
264, De Bondt Leo & C° BVBA Puurs, trendstop.knack.be
267, Bierhandel Ghysels en Zoon BVBA Beersel, www.companyweb.be
270, Garage Pauwels en Zoon BVBA Halle, trendstop.knack.be
273, Kartonfabriek Sint-Leonard BVBA Beersel, www.goudengids.be
276, Studio Teurlings BVBA Halle, www.selexion.be
279, Were Di BVBA Roosdaal, trendstop.knack.be
282, J.C.J. BVBA Meeuwen-Gruitrode, trendstop.knack.be
285, Autobus Dony NV Borgloon, lb.kompass.com
288, Bouwonderneming Wim Heens BVBA Aarschot, www.companyweb.be
291, Kleerstoffen Henckaerts-Peelaers NV Aarschot, be.kompass.com
294, Transport Jammaers NV Sint-Truiden, lb.kompass.com
297, Etablissementen Mertens Julien NV Diest, trendstop.knack.be
300, Rapid en Rapitex BVBA Sint-Truiden, trendstop.knack.be
303, Transport Vanschoonbeek NV Landen, be.kompass.com
306, Braet Maurice en Kinderen PVBA Assenede, www.tuugo.be
308, Chimefer BVBA Maldegem, www.companyweb.be
311, Lederfabriek De Vreese BVBA Knesselare, trendstop.knack.be
314, Dobbelaere gebroeders BVBA Kaprijke, www.companytracker.be
317, Asseneedse Houthandel BVBA Assenede, www.goudengids.be
320, Roger Janssens en Zoon BVBA Maldegem, trendstop.knack.be
323, Picavet BVBA Zulte, www.companyweb.be
326, Firma Jules Van de Velde Groothandel in Wijnen en Likeuren BVBA Eeklo, www.companyweb.be
329, Mabemo NV Destelbergen, bd.kompass.com
332, Firme A. Swerdloff BVBA Roeselare, www.hoovers.com
335, Lavenne Assurances SA Mons, www.companyweb.be
338, Pharmacie Delpature-Hansart SPRL Mons, www.companyweb.be
341, Transports Maurice Jeanmotte SPRL Dour, lb.kompass.com
344, Travakor NV Kortemark, trendstop.knack.be
347, Upovino CV Gent, www.companyweb.be
350, E Van Trimpont SPRL Saint-Ghislain, www.companyweb.be
353, Le Lys Rouge Maison des Femmes Prévoyantes Socialistes de Mons-Borinage ASBL Frameries, www.companyweb.be
356, Carrières de Silex SA Fernelmont, trendstop.levif.be
359, Covisse Marbres et Pierres SCA Soignies, trendstop.levif.be
362, Etablissements Delcroix SPRL Soignies, trendstop.levif.be
365, Entreprises Desenfant SPRL Braine-le-Comte, www.companyweb.be
368, Garage Anglo Belge SA Lessines, www.companyweb.be
371, Ets Ghislain SPRL Mons, www.menuiserie-ghilain.be
374, Entreprise Agricole Raymond Hulin SPRL Quévy, www.infobel.com
377, Longeval SA Rixensart, trendstop.levif.be
380, Autobus Naway SPRL Enghien, trendstop.levif.be
383, Aaac SPRL Verhaege Yves SPRL Mons, www.companyweb.be
386, Les Transports Sonégiens SPRL Soignies, lb.kompass.com
389, Ateliers Vandroogenbroeck et Francois SPRL Lessines, www.hoovers.com
392, Bille Frères SA Ath, lb.kompass.com
395, Callens et Denys SPRL Mouscron, trendstop.levif.be
398, Demets et Ballade SA Mouscron, be.kompass.com
400, Anciens etablissements Louis Huart SPRL Péruwelz, www.companyweb.be
403, Société de Logements de Mouscron SC Mouscron, www.swl.be
406, Gueret et Gevas SNC Leuze-en-Hainaut, www.companyweb.be
409, Nettoineuf SPRL Mouscron, www.companyweb.be
412, Etablissements O. et R. Loridan SPRL Comines-Warneton, www.companyweb.be
415, Jules Mortreu et fils SPRL Comines-Warneton, www.companyweb.be
418, Roussel International Belgium SPRL Mouscron, be.kompass.com
421, Yprabus SA Comines-Warneton, www.companyweb.be
424, Garage T George NV Zonhoven, verkopers.autoscout24.be
427, Convenit NV Hasselt, trendstop.knack.be
430, Komatco NV Aartselaar, lk.kompass.com
433, Limburgse Autohandel BVBA Zonhoven, trendstop.knack.be
436, Remo Milieubeheer NV Hasselt, trendstop.knack.be
439, Rijnders Bouwmarkt PVBA Lommel, trendstop.knack.be
442, Jos Schraepen en Zonen Granen en Krachtvoeders BVBA Tessenderlo, trendstop.knack.be
445, Wasserij De Zwaan NV Genk, www.openingsuren.com
448, Brasserie Balon 1812 SPRL Namur, trendstop.levif.be
451, Godefroid-Seron SA Courcelles, lb.kompass.com
454, Les Etablissements Auguste Dermine SA Namur, be.kompass.com
457, Salle des Ventes Elisabeth SA Namur, www.companyweb.be
460, Transport Ingels Julien BVBA Maldegem, trendstop.knack.be
463, Avixia SPRL Namur, trendstop.levif.be
466, Chauffage Vangangel et Cassart SPRL Namur, www.companyweb.be
469, Les Etablissements A. Carlier SPRL Waterloo, data.be
472, Entreprises Générales H. Cooremans SA Villers-la-Ville, be.kompass.com
475, Meunerie Bernar SPRL Orp-Jauche, trendstop.levif.be
478, Pharmacie Noël SPRL Rixensart, www.companyweb.be
481, J.S.M. Distribution SA Eghezée, trendstop.levif.be
484, Anciens etablissements Darchambeau SA Charleroi, www.companyweb.be
487, Joseph Mallien et fils SPRL Charleroi, www.companyweb.be
490, Bourlet SPRL Châtelet, be.kompass.com
493, Electricité - Automatisme - Informatique SA Charleroi, www.companyweb.be
496, A.Marchal et Cie SPRL Charleroi, www.companyweb.be
499, Degels Transal BVBA Ieper, trendstop.knack.be
502, Entreprises de Travaux Publics Léon Michaux SA Farciennes, www.michauxconstruct.com
